SaleAmount_2024,Total Enrollment
157378,17034
211786,23907
424789,23898
765101,22813
220824,20262
314124,25018
421061,24355
1714593,17034
449621,24639
230457,20810
503845,26149
215459,23464
215535,20448
169015,15179
423656,21691
236919,25642
121878,23907
332887,23883
160571,20025
75602,16379
239204,21133
125981,20794
418254,23898
439858,21446
370320,23464
229223,26026
164864,19724
459942,22813
717396,23883
171893,20025
57539,19711
322528,17606
170152,24297
609047,24360
780210,24360
172875,16464
102816,22071
225787,20794
251693,16379
285967,16446
224080,20810
368649,21691
348531,23732
313850,21691
435002,20794
393528,24639
386489,24360
315163,22371
337683,26149
670007,26149
494736,23898
247402,22071
729934,22371
499718,24639
303335,22371
204027,22813
1104342,25018
1690000,26470
349092,22371
189392,20025
748745,23732
492019,26026
2116,19724
358105,25642
386068,25944
162705,19724
190262,25642
122004,17168
144168,24639
2,19867
135821,16531
230168,21133
42621,21446
257041,22071
544571,22371
92911,20810
265000,26470
1423128,24360
160650,22071
1189091,25944
253280,20794
155000,26470
449470,22813
214871,24297
230317,16889
299589,25944
1748803,22813
198743,24297
510192,16446
205075,23898
625000,26470
535537,21691
363236,21133
245508,17444
883580,22071
364011,23898
128663,20025
393528,24639
389837,22813
211777,23883
518305,24360
156342,23464
305047,22371
165385,17034
523459,23732
286239,14382
271098,21133
169356,21133
397611,23907
396727,24360
226748,21446
221309,20448
279347,23883
401732,25642
234916,19724
792768,21446
437055,22813
302615,20025
250670,16464
281091,24639
416740,23907
380436,20810
412690,19724
900039,25018
333296,23898
170692,16179
188593,20448
486231,26026
430211,25642
146695,20794
306077,24639
504848,23464
290941,24355
161949,20794
399414,22534
537000,26470
585769,24297
360319,12351
441771,24391
143774,23898
708683,17444
170632,21133
527630,25018
251485,23883
431500,26470
128691,16985
538813,23883
261781,22371
965136,25642
103366,23732
30134,15903
320488,20262
783189,20810
318051,23732
155108,20448
175090,22371
257233,24360
152025,14382
498609,21133
172397,17168
264991,24297
428346,26026
299831,24639
874058,26026
400561,26026
536956,25642
263707,23907
227003,25018
334607,21691
380564,26149
285708,19724
154427,25944
560208,23907
491890,23907
99287,20810
235391,20794
131193,16889
214486,16985
235424,16531
530148,22071
296266,24360
161890,24360
326761,23898
183607,17034
259797,20448
233307,23898
197664,16889
476246,22371
216468,16889
405974,25642
14661,16420
164485,8597
77794,16464
405629,25944
219986,19789
204350,16179
84031,17662
502853,22813
214882,17444
142357,21446
202230,24297
401627,22071
97709,20262
513922,22071
160139,17034
364733,24360
420062,22371
1027199,22371
251114,20262
292384,22071
75628,17662
118335,19711
375073,21446
98713,21536
146968,9011
170551,16889
244190,25642
473719,23883
525000,26470
983103,22534
182215,19867
97558,23907
593580,24355
218395,23883
260481,26026
408545,22371
561481,26026
272669,25642
499267,22534
680866,24639
200085,16420
232481,21691
67276,15903
655402,22534
226727,21536
370258,22371
141979,21691
635978,24355
164553,19867
394745,24355
302025,24360
155194,17662
176466,17662
362296,24639
288176,23464
262636,22371
33764,12907
155205,14382
215136,17444
160347,16889
547992,21691
485058,23907
1175507,25642
287305,22534
521101,25642
320225,23898
248741,21446
710366,25944
466753,22371
163576,20448
96221,20448
153863,16179
253660,24355
173070,20810
210615,19711
141439,16379
174924,16889
198299,16379
306356,23464
260736,21536
281014,23898
338042,24391
361464,22071
156267,16179
212824,16889
57540,20448
218655,16889
326761,23898
158202,9735
264581,22371
102509,24297
830773,22813
214060,20810
265227,17168
152232,20262
219350,16446
302992,22371
434135,26026
273135,23907
120223,17444
275836,17168
352521,23907
370461,26026
544726,22371
268584,21536
128106,19711
164441,17168
102057,17606
203027,20448
79820,20794
245817,15903
654406,25642
253582,22371
337929,23732
343579,21536
303721,17444
258017,24297
535888,23898
263821,19867
244009,17168
283722,22071
287695,24391
474096,21691
195416,19711
265111,26026
301220,22071
392122,21446
262716,23898
269607,22813
178897,20794
582,16379
1249000,26470
412873,22071
530975,24360
173334,14382
222778,20262
317307,20794
188283,24297
146884,20794
260550,25642
509022,23464
120761,7873
99022,24297
38488,20448
283824,16379
1736439,24639
492019,26026
99270,23883
515787,15179
173503,22071
451345,22371
285093,24355
284180,22813
202230,24297
297204,22071
136670,17034
284801,24391
585126,23898
185305,23883
94263,23464
228453,21446
132891,21133
97009,23464
282880,16420
352301,24639
450000,26470
177668,19724
552171,25018
893840,22534
297568,15903
611301,21133
104992,10852
111619,21536
145628,21536
123163,20448
111628,21133
338859,15529
1055816,26026
18973,16420
169426,20810
362430,24360
382010,24360
574423,25642
86255,15179
476665,25944
53156,21133
324677,23732
376720,22534
692474,19789
1876317,20448
195416,19711
288248,19724
605021,22534
154357,16446
249633,22534
172069,23883
427249,25944
171694,23464
333165,23898
575753,23898
208122,20262
282790,23464
135289,17034
703031,24360
369893,23898
412436,22371
855999,22371
453960,26026
245945,23907
328652,23732
87952,17444
401262,23898
392623,24297
180228,23732
487225,24639
154976,12351
350778,20262
280104,23907
248706,26149
226939,22534
434164,26149
631929,25018
253963,19724
401032,24355
475152,24355
469970,23464
22423,16420
263816,20262
1656513,25018
164262,17444
492019,26026
859000,26470
94263,23464
146564,20262
378400,23464
245397,23898
474732,24639
694616,26026
771946,24355
209340,12907
194977,16446
249009,22071
446315,22534
174924,16889
197082,7873
340409,22534
265057,17034
161805,16889
265527,21691
347308,26026
173654,26026
474732,24639
402393,23907
539696,24639
97453,21133
343556,24639
482472,22371
259254,19724
175168,24297
305523,26149
523996,17662
240090,17662
482405,26149
2,16889
228283,21446
219821,9011
329547,20794
481642,23907
1077371,26149
250640,26026
176989,19789
155974,16889
156840,20448
227936,23732
172695,19724
91089,20810
330159,23898
199957,25642
254265,21133
39908,19867
156506,7873
1019494,23898
80974,20794
464963,21691
195256,24297
428092,22813
231802,23907
666577,23464
322650,21536
287551,24391
724172,23907
115188,17606
391849,22534
175713,17168
393615,26026
150914,17168
389582,17168
499718,24639
127976,24360
190988,19789
469735,24639
376367,21536
336060,24639
14113,19711
250137,20262
264532,16985
550873,22813
236914,26149
519788,25018
575000,26470
154976,12351
314227,13732
357499,25642
219247,16379
347327,22071
519925,26149
186855,23732
214961,20262
207144,20794
125572,21536
236625,14382
392829,23907
377776,26149
280097,23464
263821,19867
597972,23898
272740,15529
283686,16179
90501,21691
434669,23732
221309,20448
389689,24360
1524414,21691
444753,25642
509205,26149
313690,23898
556987,23898
237167,21133
61238,21691
240638,23907
323039,17034
189825,17444
253229,20810
383528,22534
490818,25018
165083,21133
150498,16179
196502,21133
248455,20448
291467,22813
303809,24391
216100,16446
141980,16889
235447,21536
149915,24639
550000,26470
113223,20025
198311,23464
243722,16446
255313,24360
261608,21536
174928,23732
87952,17444
816174,26026
422351,22071
185887,16985
484745,25642
220507,16379
813931,24360
234940,23883
87579,16452
1333155,23464
134975,25018
1876317,20448
266469,16446
277705,16420
807421,26470
1704,21446
208579,24391
824040,25944
296906,25642
270556,10852
316202,22534
189392,20025
386339,21691
283618,23732
198793,17034
333953,23732
4997,24639
302586,22534
218618,23907
187378,26026
101155,21536
273272,23907
614863,23907
202171,22371
215331,26026
330845,23898
198822,9735
805889,25642
574703,23883
94503,16379
440450,22371
605801,20262
272693,21133
296601,26026
187932,19724
550265,23898
226525,17444
192249,21133
291971,23907
417158,24391
220759,24360
441391,24360
381199,23883
2,19724
33665,21133
155974,16889
165661,17034
124632,19711
363434,10852
529982,24297
302664,24360
139205,17444
102595,20262
195630,19867
412724,26149
319662,21691
286290,20262
287457,22534
187394,24639
221124,22813
160272,15179
243546,24297
143669,24639
165892,21691
172529,23898
332008,16531
509610,25944
263821,19867
486,16889
628615,24391
592739,26026
289423,26026
374249,25018
214733,25018
641557,24297
39672,16420
1876317,20448
249124,23464
449524,24391
214173,26026
121457,20025
84654,19724
599890,24360
340944,15179
610000,26470
249018,22371
115341,19724
122445,17662
532881,23907
233137,20025
461881,22371
168822,12907
155387,20025
193270,20262
117492,17606
248614,20810
190988,19789
577689,26026
467496,22534
452366,22534
172788,17662
171588,16985
583456,16464
119254,16985
319810,25642
605021,22534
38488,20448
383597,21446
87721,24355
121849,16452
249078,8597
2,17034
509616,23898
420145,23464
1515629,22813
273053,20794
245928,17606
314544,23907
109300,22813
259605,20448
123763,19711
68396,20262
106249,19789
50367,12351
217571,24297
157585,20810
144470,21691
165661,17034
444067,23907
128168,16420
283409,21536
157767,20810
373776,24297
148145,19724
508440,23898
420217,22371
172758,21133
39113,20025
99270,23883
193623,8597
93647,17444
1139000,26470
207451,16464
211687,20448
114226,21446
241236,22371
327294,23732
364358,20810
328003,22534
182422,21446
284180,22813
131315,17606
127525,20810
133777,21133
228075,24355
154861,23464
273550,24360
72456,7873
176626,19867
432526,21536
209286,21536
142552,20448
295296,19711
70875,21133
316252,22371
209881,24639
97123,20262
606514,22371
104643,21536
458820,26149
165634,23464
171183,17034
266440,23907
155680,22534
237378,17168
203987,19789
388922,24355
204027,22813
177308,16985
543948,22371
130804,21536
107636,22071
366988,26026
267465,16379
116386,20262
28473,17444
196740,22813
309722,23464
561481,26026
159723,16420
230738,20448
144913,7873
227084,21691
148591,19789
606112,21691
120520,20794
37662,20794
216081,17662
435625,22371
451678,21691
116140,23907
822121,25018
417100,26470
122403,20794
832113,22534
350316,16452
39265,25018
223810,23907
86948,7873
108131,21536
241876,24360
58625,20262
224495,16985
176213,24391
289000,26470
360330,25944
509224,25018
175602,21446
152533,20794
573952,24391
421047,16531
