SaleAmount_2024,Total Enrollment
672754,25944
211839,19867
287457,22534
226727,21536
514083,22071
127575,21133
849730,25018
264097,16531
221771,25642
199180,26149
313269,22071
254435,14382
228049,19867
490729,20448
450930,23898
1018176,24639
62786,21536
202879,7873
208259,16531
199887,24639
300599,23907
279989,22371
288782,19711
367890,22071
648567,26149
278874,21536
181128,15903
431886,23732
165564,10852
202327,22371
437860,23898
342244,22371
460907,22071
453799,16464
224234,16420
218812,17168
279049,21536
227724,20810
562534,23883
173232,20025
196136,15903
496954,23732
305547,21691
1053501,26026
537822,24639
132981,16985
117251,20262
289423,26026
714896,22071
169327,17606
271411,19711
626178,23464
651202,26026
415548,22371
234686,17034
302600,22371
504773,23732
134620,19711
459116,24639
455410,23883
207144,20794
432396,25944
648284,16464
31901,10852
554085,21446
239679,8597
329,16889
143006,16179
204040,20810
341062,22071
599199,22371
260254,22071
499718,24639
376428,23898
53418,23732
897440,25018
389612,23732
311432,22813
234118,17444
323927,21446
344555,23732
802700,26470
137451,16531
255095,16985
345537,24360
207336,16985
260736,21536
604318,24355
202064,20448
190793,24355
136941,24391
175090,22371
314420,22813
157358,15179
496353,23883
239886,24297
339831,23898
633834,16531
7040,17034
539429,24391
264721,23883
185488,20794
127418,16179
131792,19789
46575,15903
457855,22071
165297,15529
423821,22071
181396,21133
158553,21446
142699,16379
381662,17168
159292,21133
426988,23907
222865,23464
429948,22534
299685,20810
187394,24639
324658,25642
387796,25642
538180,22071
203120,19867
480442,26026
109692,20448
240805,20794
555000,26470
235985,19789
269893,22071
400020,22071
160526,19724
271340,23883
197388,24639
167932,15903
330815,22813
173461,22371
473150,23898
539214,22813
225033,20794
514397,22534
98028,23898
1038534,24639
231986,19789
336611,26149
220087,24391
299714,24355
245985,19789
536258,24297
259405,22813
372668,24355
331174,13732
675377,22813
242320,20262
264256,21446
592977,23883
216270,14382
154444,15179
317530,20448
479912,24360
399775,24639
217735,22371
425785,25018
489000,26470
323093,23883
287927,22371
995616,26026
399287,24360
375923,22071
360330,25944
293584,24639
175975,24639
459461,22071
150650,20794
236351,12907
1905000,26470
814913,26026
216560,16531
204013,23464
498249,23464
707525,21446
622281,21446
201477,16446
181598,16985
182388,19711
218655,16889
181309,24297
492000,26470
154549,16420
511778,24360
923982,24297
128242,12351
339670,20025
134839,21691
636731,26026
262352,24360
239828,20025
206800,17034
141134,19711
680819,22534
185274,20025
152533,20794
304494,22813
199470,21446
1286951,21691
416056,22534
628004,25944
751499,23907
160462,17168
570311,22071
212059,22071
141529,14382
604065,22813
869936,22534
574893,21691
284281,21536
301000,26026
142990,16985
107342,23732
584625,23883
297204,22071
216555,17606
199171,21536
911250,22371
281371,12907
269733,25944
571143,23732
239204,21133
539370,23883
86599,20448
430751,22371
850904,26026
197587,19711
588982,25018
249018,22371
348953,24391
257120,20025
457968,23883
1099381,24639
237578,24355
398790,25018
182167,22813
219384,20448
156335,20262
248251,16531
199328,20262
402108,19724
112455,22071
520997,26149
355679,16889
302600,22371
193720,12351
390464,23883
120761,7873
189413,15179
1141733,25944
186368,17034
470764,22813
172700,21691
505817,22371
170101,21133
198781,25018
414289,23883
133954,21133
164827,15903
225902,20810
430278,22813
205164,23732
697473,24360
129767,17034
202591,21691
366013,17168
22423,16420
779160,22534
316996,23907
113469,22534
194651,17034
292890,23464
186745,16985
99390,23732
913616,24355
245406,21133
407364,26149
874507,24639
494037,22813
190518,20448
179214,16420
392458,26026
385578,23898
113246,25944
267356,16420
495494,22813
143305,19711
1084030,23464
255731,21446
74064,23464
1215778,24360
511975,25018
780210,24360
357982,20810
443511,24297
154976,12351
436270,25642
146564,20262
244168,21536
157411,24639
422595,21133
302586,22534
423555,23883
157431,16889
95081,16464
382635,24391
521381,22371
296761,17444
306872,19724
613523,25018
429353,20794
202870,9011
476300,24297
414288,20794
218600,22813
131908,20262
250175,20448
357931,16452
73824,19711
632912,23464
198362,9011
435625,22371
234726,17168
164287,23464
351756,22534
123310,20025
558262,22071
1194291,25642
261362,19867
251790,23732
789232,24360
134214,14382
268002,26149
114640,23898
163657,24639
249009,22071
194023,23907
143774,23898
358194,24355
343367,22534
157483,20025
1375000,26470
288779,25944
200813,22071
383573,23907
285911,24297
136558,12907
126724,20810
419012,20810
380125,24355
862371,22534
409323,22371
103842,20810
155241,16446
17300,13732
226120,20448
165911,20262
468486,24639
64488,20262
230795,16179
230684,25018
278294,23732
481030,22813
410719,23464
151548,20448
483606,23898
141754,16379
320363,17034
180067,17662
727870,24391
655402,22534
667466,25642
104643,21536
316255,21446
662606,23732
393507,20810
157431,16889
151892,20810
21254,7873
203116,17662
556677,22534
182007,19724
90547,16531
166281,23732
177679,10852
315344,21691
446692,25642
153954,20448
227499,23907
422558,26026
148180,20448
152732,16446
15065,20794
425000,26470
265521,20794
220895,22071
180309,16179
158889,16889
753051,21133
294175,20025
396807,22071
911164,17444
418267,24297
355254,23907
645378,23732
208461,19724
241202,26149
170843,17444
247152,23732
423985,24355
476573,22534
789232,24360
312671,20262
494162,24355
366653,24360
237364,16985
282270,23732
234756,19867
591653,23883
122527,17662
101794,23907
211240,21536
860773,19867
539900,25018
73613,12351
624109,25642
441737,25018
266057,19867
176881,26149
1572448,23883
209506,20810
182216,23732
349895,23898
254692,26026
195567,20025
409903,20448
46318,20025
463282,25944
239865,16464
499029,20794
234726,17168
126321,19867
782942,22534
139529,20262
350288,23898
254879,21446
127261,16985
162139,20810
101378,23732
198781,23732
333494,20025
334462,22371
108044,21536
138839,16531
256923,21133
358181,24391
103238,17662
135289,17034
980305,21446
76155,16452
284711,24297
238249,23883
304799,23732
273340,17034
141560,16985
256000,20262
218255,16464
277707,9011
480920,22813
100417,24297
195551,19724
191106,20810
273909,22071
393362,22534
500351,20448
404190,23732
312535,16179
520962,26026
628714,23883
23365,20025
219302,24355
334592,25944
189876,22371
252008,16379
567509,25018
478686,25642
318634,24391
130861,20448
220824,20262
421300,26149
200085,16420
718874,23898
412436,22371
785310,25018
1049282,22813
232481,21691
496479,22371
164705,17444
538028,21691
189501,16889
180309,16179
215124,20025
169731,16179
388734,20448
734420,20794
447,19867
177624,20810
478686,25642
316312,23907
464021,22371
104764,17168
747374,23464
133809,20025
532236,24391
49406,20025
201812,16452
360639,23883
205913,20448
421887,24639
512086,24639
472104,17168
427290,9011
235658,23464
340000,26470
503960,22071
276103,17662
423978,16464
111532,16985
217075,20448
182989,23883
525053,25944
313695,23883
403816,10852
317167,21133
224486,16889
282199,9735
427999,22371
200215,20810
555916,23883
661387,25642
161476,16531
167823,17662
499718,24639
283430,22813
1210346,22534
507881,22813
319156,19867
186114,16420
135868,20025
173964,19724
795000,26470
364677,22071
338042,24391
231870,16985
373527,22371
451189,22371
430211,25642
273272,23907
365478,25944
636731,26026
342041,23464
143847,24391
515637,26149
102613,23907
586376,22071
407466,21446
582388,22534
198541,23883
106893,9735
274642,21133
196684,9735
604672,22813
517852,24391
251979,24355
236833,20810
499586,25018
544571,22371
517860,20794
2,19724
221124,22813
367753,24639
786073,26026
174784,17168
190629,22534
294491,25018
112001,20448
267035,15903
217075,16446
411478,24355
416086,22071
190631,17662
124846,17662
3,16452
131176,24639
266888,26026
452397,20262
203421,21691
417531,22071
237756,19711
405183,23898
490729,20448
302965,25642
292789,17662
109003,21536
301190,17444
218648,24391
157803,20448
111619,21536
769868,24297
323756,21446
360000,26470
181095,16531
231624,20794
511906,24360
211783,20810
323927,21446
407900,26149
156267,16179
393615,26026
794735,24360
250000,26470
228085,17662
143884,21536
901144,23732
596250,23898
226447,20025
131148,17034
285000,26470
94277,20810
341974,21133
158515,19724
364665,23898
401113,22371
879900,26470
454448,25642
328035,26149
340419,21691
254045,20262
130704,23898
300163,26149
157289,16985
143963,22371
128689,25944
188311,17168
332483,24360
130422,7873
181551,22534
201068,22534
224480,21133
116753,20794
533219,25642
220416,16464
1299626,26149
504983,23464
222218,19724
306761,25018
230999,24355
50577,21536
198920,17168
181404,8597
385578,23898
371297,20262
88887,19724
165869,16985
170008,17444
199987,19789
222529,15903
57539,24391
176317,15529
320778,24297
289523,23464
245905,22371
417196,25018
136163,22534
242748,21133
126001,20448
311176,16464
134146,19867
218007,21536
236704,20448
374248,13732
113508,20448
69729,21446
293692,23898
278294,23732
465196,22371
154516,16889
925000,26470
117251,20262
226447,20025
147441,17606
260481,26026
197594,17168
562806,26149
623061,23907
532881,23907
647049,25642
480442,26026
544116,26026
222865,23464
488750,21691
606112,21691
177627,23907
230875,24391
366887,25018
157289,16985
110253,16379
343043,26149
442204,26149
455241,22534
203716,16452
422558,26026
1093805,22534
325194,23907
44943,12351
875088,25944
361200,26026
264256,21446
199488,23907
53045,17168
803254,22071
231631,23883
199205,16531
473480,20025
123516,20025
280905,17662
617709,25944
150081,26149
214486,16985
681659,23883
180611,15903
156680,10852
374132,26149
250675,13732
353096,26026
421170,22813
498036,22371
121252,20025
428804,26149
303981,19711
262352,24360
281559,23883
146337,20810
343830,24355
158990,19789
189006,16379
142545,19711
489020,25944
209984,10852
81298,23907
454567,15529
581030,24297
561074,22813
95031,24355
150913,16531
335760,22071
383133,22813
248215,17034
252888,21536
228785,16985
211786,23907
63881,16446
261478,17606
234449,20794
296079,22071
328795,21691
145375,9735
258496,15903
510303,21133
419013,25944
300745,24360
71203,20448
636581,21536
300542,25642
334186,24639
209376,15529
121457,20025
242557,16379
379851,16179
263403,21446
456645,23883
160801,26149
600326,26149
130729,16379
449972,19789
824170,24360
339010,24360
351808,24360
309705,20810
370408,24391
386068,25944
248614,20810
165588,16420
308811,23907
249009,22071
169989,19789
156058,17662
189405,24360
492581,23732
449746,24639
81740,16179
65138,19711
414454,26026
98378,23907
268751,24360
185833,23464
215359,17034
119124,23883
289423,26026
348722,21691
624109,25642
376266,9735
421417,23732
211161,24360
177296,19867
324556,24355
256799,22371
609809,24360
126770,19724
194730,21133
393528,24639
800077,22813
107479,19711
250963,22371
333313,20794
72451,15903
381259,22534
423272,19724
101585,19724
254692,26026
142561,12907
326761,23898
176716,22071
213966,16179
171664,17662
243985,19789
215111,22071
235391,20794
436629,24639
257198,22534
374789,24639
141359,16446
374249,25018
123430,24297
378150,20448
220796,20794
232549,20262
263722,22371
589070,26149
357463,24355
29154,16889
198045,24297
191073,19711
147825,20794
97953,20448
203884,17606
154861,23464
538648,23464
322014,20794
723607,26149
141560,16985
1664184,26026
852398,17606
154197,16379
396515,17168
216559,20794
486311,24360
347308,26026
236926,15529
438499,23732
999742,24391
671000,26470
450092,22371
270000,26470
192416,16889
551098,23883
24009,17662
720253,24360
185229,16446
979439,22813
396644,26149
126608,16452
226899,16464
299135,23883
134146,19867
187002,24391
230586,19789
365328,21691
421417,23732
433757,22071
364818,23907
434022,23883
735497,26026
895487,24355
348096,24360
804597,26026
567191,23732
196459,17168
233306,17034
64911,16179
468486,24639
235193,22071
461830,23907
170605,16446
855999,22371
220507,16379
302581,19789
323813,21691
182664,21691
395456,20794
163418,22371
545178,23907
520799,23732
376162,24391
380507,22813
366475,16889
419763,24639
228391,16179
271064,22813
251407,20810
71778,20810
215841,17662
343435,22534
251835,17444
68412,9735
510303,21133
304756,19724
284431,22534
199982,21446
96208,16889
393275,25944
7877,20262
515041,25642
313361,10852
249313,17168
313033,23883
502923,25642
472626,25642
573526,26149
409966,24391
348691,24355
181309,24297
209529,19711
398674,21133
194288,19867
439872,22071
105526,20262
576712,25018
23365,20025
201993,23464
329547,20794
312647,24360
289870,23883
521381,22371
384354,24355
77190,20262
42415,25642
319054,22371
83714,21536
561481,26026
217281,17662
655598,21133
153724,23732
154395,20025
423634,24360
480916,22371
701244,22534
328971,8597
214402,26149
285707,17662
157345,22534
244541,24391
484683,25018
603508,25642
48041,19724
146131,21691
144914,21446
206273,19711
191607,16985
580000,26470
558306,25018
269314,24297
186206,24360
773782,22813
205023,23464
466777,23883
358334,24360
167823,17662
316148,25018
1438478,24391
389090,22371
148339,16420
193641,24639
219330,22813
321322,21691
614863,23907
316063,23732
161579,16985
235702,24297
390464,23883
581694,25642
840492,23883
720253,24360
227724,20810
624648,24639
514245,22534
163015,15903
492005,22534
81766,21536
172593,26149
439502,21536
188909,17606
329980,19789
445000,26470
109307,20810
272821,25944
227925,23883
550902,24297
522115,22071
578796,24297
470000,26470
319664,21446
340419,21691
201054,19724
320468,22813
176326,12907
273583,19711
80153,22813
174189,20794
209825,25018
360598,24639
36225,15903
480892,17444
490328,23732
260550,25642
537822,24639
69426,9011
445712,26026
518594,17662
5649,20794
157990,19789
310000,26470
252259,23898
317805,25018
348327,23898
90759,16464
121484,17034
181130,16379
274593,16446
401466,22071
525279,16379
240070,17034
336481,21133
121488,17444
189556,20448
441790,22071
162725,12351
218410,16420
824040,25944
152049,17606
437544,25944
451774,22813
816108,22813
318051,23732
187281,16179
204076,16446
380090,24360
133178,21691
232461,24355
1187652,22534
263163,24355
520509,22071
255962,20810
207004,15903
583987,23898
294930,22371
202416,24355
717800,24391
17088,20448
290581,26026
191832,17662
1364920,26026
244107,23464
178658,24355
206042,24360
170844,20025
442740,26149
275495,15529
114774,23907
260821,9735
205261,20794
257759,16531
496954,25018
624648,24639
437544,25944
505776,21536
121034,22534
229071,19711
266609,25642
177196,21536
425380,24297
251183,7873
118716,21133
158241,22071
324658,25642
951312,25642
307024,24355
318662,24360
336104,15529
402944,25642
92637,20025
371196,16179
445712,26026
239524,22371
373631,21691
251108,24639
202420,22071
385562,22071
218485,22071
805889,25642
232173,9011
70782,15179
317653,23732
253731,15529
215916,16985
150000,26470
174710,20810
327927,23907
195416,19711
213099,17606
89169,24391
294491,25018
187603,20262
692234,22813
107955,17034
185514,20448
400231,16985
235658,23464
725587,21133
192324,16464
131729,12351
300000,26470
467846,24355
525042,25018
351825,22071
277275,8597
311955,26149
267549,24355
307155,23898
156504,19867
365819,23464
475482,24360
217056,21133
298211,16464
396872,22371
248614,20810
423444,26149
584807,24355
300056,26149
733993,17444
65812,22534
364151,16379
177644,8597
348672,24297
121181,24639
158889,16889
184869,17662
424084,22813
1524414,21691
622522,22071
154391,17444
211773,16464
692474,19789
181551,15529
292403,24355
481952,22071
390220,25642
281525,15903
1524414,21691
183816,16889
287791,23907
124245,17034
311879,20025
364334,22813
492581,23732
174405,21536
271097,24639
173896,7873
437143,24355
754634,25018
762071,24639
535643,25642
438221,22813
511906,24360
671759,25944
84654,19724
28081,23464
348980,23898
386074,16985
124846,17662
218986,19789
167635,16889
477779,17662
672121,24639
167823,17662
437544,25944
149651,9735
332739,24360
190102,21536
106091,17168
659080,24360
224186,19711
324259,17034
191213,17606
843915,21446
361464,22071
113749,16985
739236,25642
148666,24639
318094,19711
134517,20448
232281,23907
228382,16379
69046,24391
268149,22813
661639,24360
146313,12907
188747,16985
396644,26149
481333,26149
104918,17034
129992,19789
560287,24391
539279,25642
379746,22534
387232,17168
189116,22534
409908,23907
499109,24360
102505,17444
247207,21446
603713,22371
167598,20794
469761,24355
238629,20448
684948,22813
411433,24297
172563,17034
321644,24355
241862,21133
165940,13732
474732,24639
682766,22071
117830,21133
482472,22371
471577,22371
322515,23464
20458,21446
223276,19724
256079,19724
636731,26026
204585,21446
138618,19867
71923,24391
252468,17444
198314,17662
368201,16985
189793,10852
185659,17168
237364,16985
257390,21691
233275,26026
202171,22371
463077,26026
134662,23464
136163,22534
107199,21133
262320,22813
393420,23898
286290,20262
130734,22371
472885,24360
475636,25944
100786,17168
485058,23907
65996,19789
160347,16889
1058887,23883
557446,26149
499593,24639
315775,22813
491188,17606
405192,26026
49730,17168
178104,14382
466908,22371
77610,21536
375476,25018
283116,25944
267944,23898
20287,9011
126707,17606
529869,17606
614863,23907
639645,23464
700000,26470
316456,23464
160347,16889
151101,12351
289423,26026
641803,24360
396406,22071
247461,22371
94795,21133
1850000,26470
201993,23464
537197,24639
185305,23883
713060,25642
268002,26149
659179,26149
454448,25642
171364,20794
202386,24639
320613,22813
222910,17034
93255,25018
331196,21536
618743,16531
377949,17168
349585,25018
281319,26026
224320,21133
127309,17168
1001080,22813
309975,22813
803884,21691
378663,24355
740816,24391
191965,24360
291587,26149
246003,20025
623996,26026
140130,16985
368253,21446
812043,24639
59562,23883
261066,23732
422262,24639
167084,20262
781026,24297
519905,25944
536945,22371
442332,24391
387827,26026
219762,26149
197866,19867
175602,21446
403126,24360
457731,23907
371132,24360
270668,26026
326963,26149
111641,17662
467505,24391
518350,17606
225975,20794
98340,22534
215438,7873
217748,20262
270118,16464
809923,17444
313930,21536
111389,20262
169130,21691
342830,22534
327053,24391
662127,24639
62738,23898
300849,21536
668001,21133
705804,23898
444561,22071
327799,21133
183988,19789
248064,21133
490984,17662
900195,22534
7762,15903
24665,16420
287771,22371
38393,24360
209519,19724
136793,20262
134411,16985
134450,17662
214207,16379
267813,23898
376372,21536
630169,25642
291914,25018
1132801,24391
214060,20810
298172,25018
290435,21691
144139,16452
659004,24639
150386,8597
377228,23883
76309,22071
218655,16889
85914,23464
215827,21536
578846,26026
120045,17662
588982,25018
524367,19711
497056,21536
159069,16446
198757,16985
148219,20025
690762,25642
273272,23907
328235,25018
1803721,23898
408491,22534
654096,26026
385578,23898
332673,24391
224194,25642
901547,20794
984039,26026
214834,17168
125916,16420
213870,17444
274710,23464
262613,12907
160112,17606
408081,20810
282132,21691
168191,15903
202230,24297
235225,23883
647315,24391
332611,24360
512211,24639
418514,24639
203377,20794
352248,23907
400927,22534
141560,16985
556411,22813
14945,21691
416293,23898
418856,16452
303335,22371
228732,23898
260470,15529
676204,22813
222964,24391
199328,20262
514132,25018
217354,15903
94503,16379
525574,21691
289168,17444
378233,22534
474867,25018
555494,23898
169093,16889
322528,17606
507841,22534
182504,21133
365419,24639
169022,16531
527160,25642
567794,25642
308323,19711
127066,23883
156585,23907
601240,23898
555692,26026
139012,17662
47419,24297
179387,16420
168329,21133
468865,26026
145423,25642
182773,16452
1294114,22813
597972,23898
830808,26149
555621,22371
779175,25018
196953,23883
210238,15903
163261,17662
336060,24639
56274,12907
251358,12907
793288,26149
190654,13732
196131,23732
229060,16464
257390,21691
54642,23907
241482,16420
176694,25018
155253,15903
81269,23883
313058,21536
676862,22371
271983,19789
499718,24639
486746,24297
257873,20448
514397,22534
528548,23464
463263,23883
381196,24391
582934,22813
538929,22371
323446,25642
128574,23907
225975,20794
241804,21133
460683,22371
246876,19711
89267,20810
203682,26149
495494,22813
431219,16420
151482,25642
360751,25018
322103,22534
144791,25018
235014,23907
68337,17444
140917,19711
333139,19789
287267,20262
621694,23907
211636,19724
219713,21133
474010,23464
222329,20025
237605,16889
216555,17606
18831,20794
251700,17168
140278,20810
149452,21691
644199,25018
262386,14382
120000,26470
210229,21691
128387,17034
248464,21691
305753,22371
162138,16420
234756,19867
285911,24297
319301,24360
165076,19724
379335,21446
467496,22534
449720,16531
170464,17662
481500,26470
397082,23883
131148,17034
299977,21536
494853,21691
306831,24297
141014,20025
71887,23898
333756,25018
250725,16889
990000,26470
1620771,26026
513599,22371
366886,22534
427249,25944
871805,21691
261408,23898
204831,20025
274510,17168
180062,13732
176292,19724
517781,26149
208384,26026
140738,19724
74419,21133
84654,19724
161963,21446
843915,21446
212604,17444
211724,21691
274721,17034
235273,21446
324535,23464
225786,19789
298015,20262
410518,25642
170455,25018
476499,23883
660640,21446
300104,13732
76645,20794
719563,19724
604369,22071
247809,16889
517510,15903
154434,21691
120678,17168
556058,24360
254027,21446
89023,19711
131380,16420
228888,17034
337438,25018
142853,17662
210108,22371
457334,23898
202064,20448
358198,20025
448424,23464
1001080,22813
216081,17662
75867,21446
692474,19789
121195,23464
121258,17444
1064000,26470
233311,21691
906479,22371
153931,16531
236488,17662
204245,22534
97443,17444
124169,23898
231986,19789
346785,23883
745015,23898
427294,21536
360669,17444
606457,22071
146564,20262
209047,16452
264545,19724
159970,24360
401916,23898
333679,24297
245942,20810
892653,22813
212179,15903
324147,23898
112436,24639
218655,16889
262352,24639
113841,16420
289829,21446
411579,22071
671543,24297
383539,24297
489985,22071
306761,25018
404498,22371
157505,16379
350035,25944
561481,26026
172946,20262
966674,26026
144585,21133
386519,25018
369160,24355
208384,26026
334617,22371
205420,21446
471685,26149
1210346,22534
1533809,25018
327682,24355
304914,17662
284920,23732
637846,26149
875435,17606
198822,9735
211740,21133
312027,24391
328350,13732
85076,24297
1364920,26026
188988,19789
437544,25944
447078,23464
281941,24391
255033,22813
518305,24360
398790,25018
764698,22071
457134,19724
208456,17034
122100,17606
120794,17034
235885,22371
326001,16420
345399,22071
109692,20448
309,16889
130854,17606
193089,22813
154395,20025
462036,26149
296109,16379
187394,24639
439524,26149
142083,19867
242383,24391
106574,20810
243433,22371
281438,24355
451774,22813
346290,22371
267813,23898
288664,20448
451774,22813
927468,24297
231723,9011
408340,22534
979743,21691
492710,24360
251700,17168
456645,23883
237704,16464
120488,21133
86080,23907
427999,22371
204954,23907
173825,17662
532620,23898
455604,26149
83553,17444
377930,25018
100641,20262
681838,24391
355254,23907
323813,21691
376484,22371
187645,21691
45377,17662
201175,21446
144054,17662
181519,16464
516035,24297
506294,13732
213332,20810
368114,25018
346679,24639
239679,22371
167935,22534
260254,22071
221634,21446
162590,19789
592653,24391
424886,22371
145000,20794
306000,16985
194021,21133
528512,21446
175713,17168
241233,24355
397082,23883
591417,22371
416675,24355
448840,24355
99974,24391
270800,13732
286700,22534
221124,22813
430000,26470
155841,14382
571888,22534
263025,22371
196594,22813
599963,19789
368114,25018
208144,24639
368114,25018
201829,15903
270473,24355
329373,16452
220784,16420
277973,16985
285921,14382
184895,24639
1905266,23898
289523,23464
556589,23732
96233,24297
131176,24639
236833,20810
275949,23464
341628,10852
365641,20448
325167,25018
483117,23883
375073,21446
195260,23464
616406,26149
401627,22071
235985,19789
90033,17662
105045,12907
241139,20025
306788,26026
48457,10852
162060,17662
248614,20810
441790,22071
188311,17168
337310,24639
107885,24391
503212,23898
140519,19789
311428,25944
453790,22534
405183,23898
89891,19711
175989,19789
382038,26026
149867,21691
169699,12351
741660,25642
288941,21691
312056,23898
66241,15903
448316,23898
190966,21691
233232,16889
146984,20025
556589,23732
135447,19724
256880,22071
383930,24360
48549,16452
658094,23907
407975,19789
218858,17606
179000,26470
176093,24360
576447,25642
280028,25944
454522,21133
498174,21691
459292,23883
687586,22071
261278,23898
1522923,24360
395000,26470
290220,25944
84142,17034
223010,24297
148145,19724
583480,22371
294039,23907
212182,17168
398602,24297
546331,21691
166058,21691
259313,16464
38393,24360
216559,20794
375043,16179
192442,20448
812097,12907
138852,16420
118957,17444
231912,23732
846545,19724
321437,10852
342399,22371
198098,21133
106270,7873
312117,17662
402691,21691
100198,20810
187983,8597
251407,20810
236833,20810
583456,16464
481952,22071
397082,23883
593580,24355
117378,19867
214486,16985
242372,25642
927468,24297
64138,16889
568215,22813
190205,24639
320225,23898
347006,22071
320363,17034
437544,25944
357055,24360
311048,23883
156557,16889
581676,25944
538782,24360
262352,24360
247809,16889
418389,24639
214971,20810
283116,25944
844602,25642
143774,23898
141736,17444
245945,23907
174361,21691
203866,15529
255051,20810
209130,23883
855999,22371
308449,22071
200835,24297
291534,21446
167718,21691
355135,24360
556702,22813
269228,16531
252438,24297
920285,25018
173374,17444
614863,23907
153572,24360
477310,20810
25873,16420
285180,19789
174508,25642
92180,20448
230308,23464
241343,20262
108911,16464
120632,19724
146599,16452
404961,17444
91089,20810
172661,21536
252094,17662
696393,23898
488141,24297
227925,23883
326269,23883
367890,22071
179838,20794
235742,20448
534479,21446
218858,17606
245406,21133
482000,26470
330850,24391
137330,16531
455599,26149
468486,24639
65996,19789
416769,26026
639888,25642
31501,16379
126766,16531
341189,21446
321533,23898
311664,22534
164280,17034
137429,24355
714164,15903
380564,26149
776195,16420
263821,19867
105702,21446
242683,17168
314784,22813
453123,22534
200844,19711
329445,25944
444166,17662
1072123,23883
313542,24360
368706,22813
451500,26026
209643,17606
369592,24297
270908,16379
52909,19724
229546,20810
120632,19724
486311,24360
549904,26026
424636,24639
258929,16452
590784,23898
282840,17444
165070,16420
517852,24391
1017940,23907
411104,16179
101994,20448
694616,26026
318387,26149
226807,16379
392981,22371
239204,21133
273268,20448
242711,15529
229537,24355
362814,24360
310151,22534
416056,22534
267334,12351
423330,22371
251255,14382
252263,17606
225975,20794
256552,16531
165451,23883
264475,15529
815000,26470
227460,8597
81834,21446
463077,26026
150473,20262
386231,23898
275644,23732
179167,24360
84592,8597
219713,21133
353763,26149
144913,7873
880000,26470
690805,25944
343000,26470
321209,25944
257047,22534
332451,21446
546621,24391
210910,20794
331950,21691
281212,23732
218600,22813
169217,20025
109837,16446
187631,20448
417196,25018
796845,25944
296906,25642
504462,25944
108605,24391
62122,17034
481000,26470
484913,23898
264032,21691
417452,23464
184988,17034
421387,24639
215740,16889
276634,23883
186786,15529
334617,22371
258926,24391
519905,25944
218135,25642
1028643,22534
61042,21536
552698,20794
792768,21446
184988,19789
170046,20794
617399,22813
270674,21691
65045,19867
236621,17444
251790,23732
312324,24639
162847,19711
113363,21536
239592,17606
404035,26026
298172,23732
878448,21691
375207,22534
344555,23732
339740,25944
179989,19789
163961,20810
614863,23907
303468,21446
140652,21446
165872,17606
385255,21691
546107,20794
279976,24355
305436,22371
343931,22813
287549,23898
347308,26026
336060,24639
756466,22534
384284,22534
65584,20810
1520418,24639
290261,22371
172617,24391
731945,23898
172199,12907
321720,17662
288108,17662
17440,21536
232274,16452
318051,23732
233003,21133
339831,23898
171222,23898
348327,23898
137893,23898
192376,19711
1334901,17662
179028,17168
434225,22371
249124,12351
367963,23883
237908,24360
278177,21536
512982,22813
159967,16531
46075,17606
714749,23883
69228,20810
662554,16452
564364,25642
936972,24639
383955,22071
178937,24297
1004652,21691
661804,23883
182664,21691
534488,22534
239681,15529
294085,23898
554535,26026
200101,19867
387769,24360
405896,24639
241804,21133
328954,24355
499109,24360
537197,24639
375640,21133
185274,20025
649108,25018
493972,22534
460,17606
419599,24355
162198,20262
333953,23732
175061,19867
230377,17606
120254,21133
342474,22813
236017,22534
596507,12907
249018,22371
213628,16985
188180,17444
289523,23464
297296,22813
160306,22813
160306,22813
314263,23907
136489,10852
46911,20810
511463,21446
256799,22371
122686,16985
452025,25642
604633,23464
330655,20810
437337,22371
276059,22371
750000,26470
172563,17034
133250,17662
302639,19724
179898,15529
564377,24360
469009,22534
225902,20810
218655,16889
233507,20794
613756,21446
1329983,17034
463263,23883
416056,22534
386074,16985
175720,25642
159069,16446
129154,16379
113577,21133
384421,22371
261608,21536
216559,20794
253320,20810
148991,19789
55894,19867
150897,16531
281371,12907
262095,16889
132495,24297
439524,26149
497857,22071
342041,23464
868014,23732
212059,22071
185305,23883
393528,24639
146161,20025
261249,17168
175657,19711
345705,22534
334925,17662
344257,24360
275754,19711
325919,19724
186460,20810
143896,20025
148568,19724
429672,22534
366967,24355
114851,25018
168608,23898
267334,12351
18785,17606
262217,26026
435000,26470
119796,17606
207709,7873
477781,22534
715513,25944
304799,23732
232362,15903
376250,26026
119586,16446
235970,24355
272666,24355
435236,26149
172269,17606
142854,19724
619367,22813
266269,26026
157622,19867
138095,21446
105526,20262
427787,25642
500512,25018
533000,26470
393528,24639
184796,24297
259922,17168
163545,8597
247392,23907
216559,20794
259984,19789
373467,20810
659885,26026
311869,22813
284083,26149
403700,23883
215389,17444
442691,25944
350861,22071
318831,21691
726473,21133
471414,25642
617322,23907
21696,12351
163876,24297
243155,24360
279808,21691
175989,19789
312897,25018
97049,17444
552469,16889
74726,21691
262259,23732
552508,22371
307692,22371
166862,17662
231593,20025
920285,25018
237274,20794
221468,15179
555692,26026
307422,21133
396644,26149
238724,14382
156656,17606
344555,23732
466908,22371
279938,22371
591892,24360
240460,22813
207926,20262
242491,17662
224178,21691
142054,24360
99270,23883
636581,21536
252339,20794
131169,20810
169093,16889
979439,22813
