ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade,SaleDateYr,Grade out of 10,Year,Total Enrollment,Undergraduate Enrollment,Graduate Enrollment,CPI_Avg,SaleAmount_2024
010024A00,895000,2007/08/29 04:00:00+00,4,2002.0,3783.0,A -,2007,8.0,2007.0,22534,15079.0,7455.0,207.34416666666667,1354075
010026000,195000,1994/07/18 04:00:00+00,1,1951.0,544.0,C,1994,4.5,1994.0,19724,12568.0,7156.0,148.225,412690
010026000,889000,2007/06/19 04:00:00+00,1,1951.0,544.0,C,2007,4.5,2007.0,22534,15079.0,7455.0,207.34416666666667,1344997
010027000,483000,2008/08/04 04:00:00+00,3,1953.0,2321.0,B +,2008,7.0,2008.0,22813,15207.0,7606.0,215.25424999999998,703893
010027000,175000,1995/12/08 05:00:00+00,3,1953.0,2321.0,B +,1995,7.0,1995.0,20025,13108.0,6917.0,152.38333333333333,360256
010027000,695000,2017/12/08 05:00:00+00,3,1953.0,2321.0,B +,2017,7.0,2017.0,24360,16655.0,7705.0,245.121,889438
010028000,212100,1989/04/04 04:00:00+00,3,1953.0,2621.0,B +,1989,7.0,1989.0,17444,11199.0,6245.0,123.94166666666666,536827
010028000,469000,2012/10/10 04:00:00+00,3,1953.0,2621.0,B +,2012,7.0,2012.0,23907,15822.0,8085.0,229.58608333333333,640824
010029000,800000,2021/08/12 04:00:00+00,3,1953.0,3461.0,B++,2021,7.5,2021.0,26026,17299.0,8727.0,270.96791666666667,926154
010029000,285000,1997/08/05 04:00:00+00,3,1953.0,3461.0,B++,1997,7.5,1997.0,20262,13246.0,7016.0,160.525,556946
010030000,122000,1985/12/31 05:00:00+00,3,1953.0,3142.0,B +,1985,7.0,1985.0,16889,11195.0,5694.0,107.60000000000001,355679
010030000,275000,2002/03/01 05:00:00+00,3,1953.0,3142.0,B +,2002,7.0,2002.0,21536,13805.0,7731.0,179.86666666666667,479615
010030100,473000,2013/06/07 04:00:00+00,3,1954.0,1984.0,B +,2013,7.0,2013.0,23464,16087.0,7377.0,232.95174999999998,636951
010030100,94500,1979/09/19 04:00:00+00,3,1954.0,1984.0,B +,1979,7.0,1979.0,16464,10838.0,5626.0,72.58333333333333,408419
010031000,291000,1999/07/15 04:00:00+00,4,1952.0,2574.0,B,1999,6.5,1999.0,20794,13576.0,7218.0,166.58333333333334,547990
010031000,545000,2008/12/15 05:00:00+00,4,1952.0,2574.0,B,2008,6.5,2008.0,22813,15207.0,7606.0,215.25424999999998,794248
010031000,165000,1992/04/02 04:00:00+00,4,1952.0,2574.0,B,1992,6.5,1992.0,19867,12614.0,7253.0,140.30833333333334,368902
010031000,425000,2003/06/06 04:00:00+00,4,1952.0,2574.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,724573
010032000,61000,1976/10/13 04:00:00+00,7,1952.0,2935.0,B +,1976,7.0,1976.0,15529,10080.0,5449.0,56.93333333333334,336104
010033000,140000,1991/01/30 05:00:00+00,4,1954.0,1368.0,B,1991,6.5,1991.0,17606,11306.0,6300.0,136.16666666666666,322528
010033000,421000,2016/10/18 04:00:00+00,4,1954.0,1368.0,B,2016,6.5,2016.0,23898,16331.0,7567.0,240.00541666666666,550265
010034000,34500,1971/08/18 04:00:00+00,5,1952.0,2956.0,B++,1971,7.5,1971.0,12351,7617.0,4734.0,40.483333333333334,267334
010034000,1000000,2020/07/14 04:00:00+00,5,1952.0,2956.0,B++,2020,7.5,2020.0,25642,17314.0,8328.0,258.85575,1211863
010034000,430000,2018/11/15 05:00:00+00,5,1952.0,2956.0,B++,2018,7.5,2018.0,24639,16777.0,7862.0,251.0995,537197
010034000,470000,2019/02/15 05:00:00+00,5,1952.0,2956.0,B++,2019,7.5,2019.0,25018,17011.0,8007.0,255.65258333333335,576712
010035000,156500,1995/07/05 04:00:00+00,3,1953.0,1560.0,B,1995,6.5,1995.0,20025,13108.0,6917.0,152.38333333333333,322172
010036000,389000,2010/11/01 04:00:00+00,4,1958.0,2497.0,B,2010,6.5,2010.0,24391,15595.0,8796.0,218.0761666666667,559568
010036000,695940,2014/03/21 04:00:00+00,4,1958.0,2497.0,B,2014,6.5,2014.0,23732,16483.0,7249.0,236.715,922268
010036000,899000,2020/07/28 04:00:00+00,4,1958.0,2497.0,B,2020,6.5,2020.0,25642,17314.0,8328.0,258.85575,1089465
010036000,164500,1994/01/31 05:00:00+00,4,1958.0,2497.0,B,1994,6.5,1994.0,19724,12568.0,7156.0,148.225,348141
010037000,1000000,2023/03/14 04:00:00+00,3,1953.0,2840.0,B,2023,6.5,2023.0,25944,17618.0,8326.0,304.70416666666665,1029516
010037000,345000,2001/07/02 04:00:00+00,3,1953.0,2840.0,B,2001,6.5,2001.0,21133,13766.0,7367.0,177.04166666666666,611301
010037000,740000,2016/05/05 04:00:00+00,3,1953.0,2840.0,B,2016,6.5,2016.0,23898,16331.0,7567.0,240.00541666666666,967213
010037000,268000,1995/12/21 05:00:00+00,3,1953.0,2840.0,B,1995,6.5,1995.0,20025,13108.0,6917.0,152.38333333333333,551707
010038000,685000,2018/04/09 04:00:00+00,4,1952.0,3480.0,B++,2018,7.5,2018.0,24639,16777.0,7862.0,251.0995,855768
010038000,1375000,2019/03/29 04:00:00+00,4,1952.0,3480.0,B++,2019,7.5,2019.0,25018,17011.0,8007.0,255.65258333333335,1687190
010039000,520000,2007/07/13 04:00:00+00,4,1953.0,1810.0,B,2007,6.5,2007.0,22534,15079.0,7455.0,207.34416666666667,786725
010039000,68850,1989/12/27 05:00:00+00,4,1953.0,1810.0,B,1989,6.5,1989.0,17444,11199.0,6245.0,123.94166666666666,174260
010040000,420000,2004/07/28 04:00:00+00,4,1953.0,1596.0,B +,2004,7.0,2004.0,21691,14129.0,7562.0,188.90833333333333,697444
010041000,117500,1979/09/06 04:00:00+00,3,2005.0,3992.0,B++,1979,7.5,1979.0,16464,10838.0,5626.0,72.58333333333333,507823
010041000,530000,2004/03/03 05:00:00+00,3,2005.0,3992.0,B++,2004,7.5,2004.0,21691,14129.0,7562.0,188.90833333333333,880108
010041000,1350000,2019/06/06 04:00:00+00,3,2005.0,3992.0,B++,2019,7.5,2019.0,25018,17011.0,8007.0,255.65258333333335,1656513
010043000,680000,2020/01/07 05:00:00+00,3,1954.0,1350.0,B++,2020,7.5,2020.0,25642,17314.0,8328.0,258.85575,824067
010043000,590000,2015/05/06 04:00:00+00,3,1954.0,1350.0,B++,2015,7.5,2015.0,23883,16736.0,7147.0,237.00175000000002,780929
010043000,660000,2018/07/17 04:00:00+00,3,1954.0,1350.0,B++,2018,7.5,2018.0,24639,16777.0,7862.0,251.0995,824535
010043000,172500,1993/07/28 04:00:00+00,3,1954.0,1350.0,B++,1993,7.5,1993.0,19711,12446.0,7265.0,144.475,374548
010043000,1420000,2024/05/23 04:00:00+00,3,1954.0,1350.0,B++,2024,7.5,2024.0,26470,17901.0,8569.0,313.69783333333334,1420000
010043000,315000,2011/05/25 04:00:00+00,3,1954.0,1350.0,B++,2011,7.5,2011.0,24297,15762.0,8535.0,224.923,439327
020004000,377500,2005/05/06 04:00:00+00,3,1954.0,1377.0,B -,2005,6.0,2005.0,22071,14213.0,7858.0,195.26666666666665,606457
020004000,50000,1973/07/16 04:00:00+00,3,1954.0,1377.0,B -,1973,6.0,1973.0,13732,8873.0,4859.0,44.425000000000004,353064
020004000,275000,2004/02/11 05:00:00+00,3,1954.0,1377.0,B -,2004,6.0,2004.0,21691,14129.0,7562.0,188.90833333333333,456660
020006000,310000,2003/11/18 05:00:00+00,3,1956.0,2208.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,528512
020006000,600000,2009/04/23 04:00:00+00,3,1956.0,2208.0,B,2009,6.5,2009.0,24355,15476.0,8879.0,214.56466666666665,877211
020006000,115600,1983/07/08 04:00:00+00,3,1956.0,2208.0,B,1983,6.5,1983.0,16379,10967.0,5412.0,99.58333333333333,364151
020006100,300000,2004/05/03 04:00:00+00,5,1956.0,1840.0,C++,2004,5.5,2004.0,21691,14129.0,7562.0,188.90833333333333,498174
020006100,362500,2007/04/17 04:00:00+00,5,1956.0,1840.0,C++,2007,5.5,2007.0,22534,15079.0,7455.0,207.34416666666667,548438
020006100,355000,2016/10/05 04:00:00+00,5,1956.0,1840.0,C++,2016,5.5,2016.0,23898,16331.0,7567.0,240.00541666666666,464000
020006200,140000,1988/06/16 04:00:00+00,4,1957.0,1200.0,B -,1988,6.0,1988.0,17168,11197.0,5971.0,118.27499999999999,371318
020006200,391000,2016/12/05 05:00:00+00,4,1957.0,1200.0,B -,2016,6.0,2016.0,23898,16331.0,7567.0,240.00541666666666,511054
020006300,183000,1998/07/16 04:00:00+00,4,1954.0,2070.0,B +,1998,7.0,1998.0,20448,13370.0,7078.0,163.00833333333333,352170
020006300,1310000,2024/06/24 04:00:00+00,4,1954.0,2070.0,B +,2024,7.0,2024.0,26470,17901.0,8569.0,313.69783333333334,1310000
020006300,920000,2022/06/17 04:00:00+00,4,1954.0,2070.0,B +,2022,7.0,2022.0,26149,17496.0,8653.0,292.6254166666667,986250
020006300,412500,2015/06/30 04:00:00+00,4,1954.0,2070.0,B +,2015,7.0,2015.0,23883,16736.0,7147.0,237.00175000000002,545989
020006300,386375,2012/11/29 05:00:00+00,4,1954.0,2070.0,B +,2012,7.0,2012.0,23907,15822.0,8085.0,229.58608333333333,527928
020006300,120000,1984/06/29 04:00:00+00,4,1954.0,2070.0,B +,1984,7.0,1984.0,16531,10962.0,5569.0,103.93333333333334,362191
020007000,335000,2013/01/24 05:00:00+00,3,1956.0,2571.0,B++,2013,7.5,2013.0,23464,16087.0,7377.0,232.95174999999998,451118
020008000,180000,2001/09/11 04:00:00+00,5,1953.0,1259.0,C +,2001,5.0,2001.0,21133,13766.0,7367.0,177.04166666666666,318939
020008000,80000,1986/12/16 05:00:00+00,5,1953.0,1259.0,C +,1986,5.0,1986.0,16985,11249.0,5736.0,109.69166666666666,228785
020009000,236000,2004/08/11 04:00:00+00,3,1957.0,1170.0,C,2004,4.5,2004.0,21691,14129.0,7562.0,188.90833333333333,391897
020010000,430000,2005/03/02 05:00:00+00,6,1951.0,1728.0,C,2005,4.5,2005.0,22071,14213.0,7858.0,195.26666666666665,690799
020010000,373450,2019/08/19 04:00:00+00,6,1951.0,1728.0,C,2019,4.5,2019.0,25018,17011.0,8007.0,255.65258333333335,458240
020010000,155000,2016/12/20 05:00:00+00,6,1951.0,1728.0,C,2016,4.5,2016.0,23898,16331.0,7567.0,240.00541666666666,202591
020012000,120000,1994/04/22 04:00:00+00,4,1950.0,1435.0,C,1994,4.5,1994.0,19724,12568.0,7156.0,148.225,253963
020012000,379000,2016/07/28 04:00:00+00,4,1950.0,1435.0,C,2016,4.5,2016.0,23898,16331.0,7567.0,240.00541666666666,495369
