ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade
020016200,83000,2013,3,2014.0,2074.0,C++
020016200,415000,2015,3,2014.0,2074.0,C++
020017000,339000,2001,4,1951.0,1860.0,B++
020017000,208000,2000,4,1951.0,1860.0,B++
020019100,640000,2011,4,1990.0,2818.0,B +
020019100,28000,1985,4,1990.0,2818.0,B +
020019100,767500,2018,4,1990.0,2818.0,B +
020020000,150000,1991,5,1952.0,3701.0,A -
020020000,377000,2003,5,1952.0,3701.0,A -
020020000,200000,1998,5,1952.0,3701.0,A -
020021000,775000,2021,4,1971.0,2800.0,B +
020021000,60030,1971,4,1971.0,2800.0,B +
020022000,174000,1980,3,1969.0,2362.0,A
020023000,768000,2001,4,1953.0,3756.0,A +
020023100,79500,1972,3,1964.0,3630.0,A
020023100,740000,2002,3,1964.0,3630.0,A
020023100,390000,1999,3,1964.0,3630.0,A
020023A00,851000,2016,3,2000.0,2492.0,B++
020023A00,848000,2017,3,2000.0,2492.0,B++
020023A00,650000,2013,3,2000.0,2492.0,B++
020023A00,975000,2020,3,2000.0,2492.0,B++
020023A00,2967,2002,3,2000.0,2492.0,B++
020027000,1249000,2024,3,1950.0,3389.0,B
020028000,38000,1970,4,1951.0,2518.0,B +
020028000,675000,2010,4,1951.0,2518.0,B +
020028000,385000,2002,4,1951.0,2518.0,B +
020029000,456000,2002,5,1951.0,3454.0,B
020029000,776795,2015,5,1951.0,3454.0,B
020029000,425000,2002,5,1951.0,3454.0,B
020031000,155000,2015,5,1953.0,4568.0,B +
020031000,235000,1988,5,1953.0,4568.0,B +
020032000,1100000,2021,5,1956.0,2380.0,B +
020032000,138000,1987,5,1956.0,2380.0,B +
020033000,87500,1980,8,1953.0,2610.0,B
020035000,165000,1998,8,1951.0,2310.0,B
020035000,248500,1999,8,1951.0,2310.0,B
020035000,245000,1990,8,1951.0,2310.0,B
020037000,85500,1978,3,1953.0,2970.0,B +
020038000,790000,2020,5,1953.0,2518.0,B +
020038000,635000,2010,5,1953.0,2518.0,B +
020038000,220000,1997,5,1953.0,2518.0,B +
020038000,220000,1999,5,1953.0,2518.0,B +
020039000,206500,1994,3,1954.0,2595.0,B
020041000,650000,2016,4,1952.0,1565.0,B +
020041000,2000,1951,4,1952.0,1565.0,B +
020042000,593800,2018,3,1952.0,1639.0,B++
020042000,550000,2010,3,1952.0,1639.0,B++
020042000,190000,1996,3,1952.0,1639.0,B++
020042000,190000,1996,3,1952.0,1639.0,B++
020042000,814000,2020,3,1952.0,1639.0,B++
020043000,151000,1987,5,1953.0,1705.0,B +
020044000,425000,2008,3,1952.0,2081.0,B +
020044000,93500,1986,3,1952.0,2081.0,B +
020044000,408400,2006,3,1952.0,2081.0,B +
020045000,165000,1991,4,1954.0,1807.0,B -
020046000,264000,2000,3,1954.0,1944.0,B +
020046000,402000,2002,3,1954.0,1944.0,B +
020047000,349900,2000,5,1960.0,2234.0,B -
020047000,75000,1985,5,1960.0,2234.0,B -
020048000,190000,1995,4,1954.0,2459.0,B +
020050000,925000,2017,4,1954.0,3887.0,A
020050000,1149000,2021,4,1954.0,3887.0,A
020050000,189000,1998,4,1954.0,3887.0,A
020050000,175000,1995,4,1954.0,3887.0,A
020050000,1360000,2022,4,1954.0,3887.0,A
020050100,61000,1976,4,1955.0,2790.0,B
020051000,515000,2015,3,1951.0,2590.0,B++
020051000,418000,2011,3,1951.0,2590.0,B++
020052000,450000,2004,4,1954.0,2044.0,B
020052000,3425,1953,4,1954.0,2044.0,B
020052000,450000,2004,1,1980.0,1176.0,B
020052000,3425,1953,1,1980.0,1176.0,B
020053000,200000,2012,3,1959.0,2659.0,B -
020053000,135000,1982,3,1959.0,2659.0,B -
020054000,23000,1980,3,1981.0,1364.0,B
020054100,215000,1990,4,1968.0,1934.0,B++
020054100,420000,2005,4,1968.0,1934.0,B++
020054200,13500,1978,3,1979.0,2122.0,B
020054200,525000,2003,3,1979.0,2122.0,B
020054200,1087750,2024,3,1979.0,2122.0,B
020054200,650000,2010,3,1979.0,2122.0,B
020054500,960000,2013,4,2010.0,3480.0,B++
020054500,8500,1973,4,2010.0,3480.0,B++
020054500,210000,2009,4,2010.0,3480.0,B++
020054500,20963,2004,4,2010.0,3480.0,B++
020054600,210000,1995,3,1975.0,1803.0,B +
020054600,321000,1998,3,1975.0,1803.0,B +
020054600,655000,2014,3,1975.0,1803.0,B +
020055100,89900,1985,4,1973.0,2343.0,B -
020055101,10500,1974,4,1975.0,1972.0,B -
020055101,530000,2014,4,1975.0,1972.0,B -
020055200,500000,2011,3,1967.0,1734.0,B++
020055200,1125000,2023,3,1967.0,1734.0,B++
020055200,750000,2013,3,1967.0,1734.0,B++
020055300,76500,1977,5,1975.0,1512.0,B -
020055300,450000,2012,5,1975.0,1512.0,B -
020055400,71000,1975,4,1975.0,1902.0,B -
